su_id,UniqueID1,ParentUniqueID1,UniqueID1_recruiter
11111126,3000445,3000010,
11111126,3000446,3000010,
11111127,3000447,3000447,3000447
11111127,3000448,3000447,
11111127,3000449,3000447,
11111127,3000450,3000447,
11111127,3000451,3000447,
11111127,3000452,3000447,
11111128,3000453,3000038,
11111128,3000454,3000038,
11111128,3000455,3000038,
11111128,3000456,3000038,
11111131,3000457,3000457,3000457
11111131,3000458,3000457,
11111131,3000459,3000457,
11111131,3000460,3000457,
11111131,3000461,3000457,
11111131,3000462,3000457,
11111131,3000463,3000457,
11111131,3000464,3000457,
11111131,3000465,3000457,
11111131,3000466,3000457,
11111142,3000467,3000041,
11111142,3000468,3000041,
11111142,3000469,3000041,
11111142,3000470,3000041,
11111142,3000471,3000041,
11111142,3000472,3000041,
11111142,3000473,3000041,
11111145,3000474,3000019,
11111145,3000475,3000019,
11111156,3000476,3000044,
11111157,3000477,3000477,3000477
11111157,3000478,3000477,
11111157,3000479,3000477,
11111157,3000480,3000477,
11111159,3000481,3000023,
11111200,3000482,3000482,3000482
11111200,3000483,3000482,
11111211,3000484,3000484,3000484
11111211,3000485,3000484,
11111211,3000486,3000484,
11111211,3000487,3000484,
11111211,3000488,3000484,
11111211,3000489,3000484,
11111218,3000490,3000048,
11111218,3000491,3000048,
11111218,3000492,3000048,
11111218,3000493,3000048,
11111218,3000494,3000048,
11111218,3000495,3000048,
11111218,3000496,3000048,
11111218,3000497,3000048,
11111218,3000498,3000048,
11111218,3000499,3000048,
11111219,3000500,3000500,3000500
11111219,3000501,3000500,
11111219,3000502,3000500,
11111219,3000503,3000500,
11111219,3000504,3000500,
11111221,3000505,3000050,
11111223,3000506,3000506,3000506
11111223,3000507,3000506,
11111223,3000508,3000506,
11111223,3000509,3000506,
11111223,3000510,3000506,
11111223,3000511,3000506,
11111223,3000512,3000506,
11111223,3000513,3000506,
11111223,3000514,3000506,
11111223,3000515,3000506,
11111223,3000516,3000506,
