SU_ID,source,alter,UniqueID1,ParentUniqueID1
22222123,2,2,3000768,3000765
22222124,0,0,3000093,3000093
22222124,1,1,3000094,3000093
22222124,1,2,3000769,3000093
22222124,1,3,3000095,3000093
22222124,2,1,3000770,3000093
22222124,2,2,3000771,3000093
22222124,2,3,3000772,3000093
22222126,0,0,3000773,3000773
22222126,1,1,3000774,3000773
22222126,1,2,3000775,3000773
22222126,2,1,3000776,3000773
22222126,2,2,3000777,3000773
22222127,0,0,3000778,3000778
22222127,1,1,3000779,3000778
22222127,1,2,3000780,3000778
22222127,1,3,3000781,3000778
22222127,1,4,3000782,3000778
22222127,2,1,3000783,3000778
22222127,2,2,3000784,3000778
22222127,2,3,3000785,3000778
22222128,0,0,3000786,3000786
22222128,1,1,3000787,3000786
22222128,1,2,3000788,3000786
22222128,1,3,3000789,3000786
22222128,1,4,3000790,3000786
22222128,1,5,3000791,3000786
22222128,2,1,3000792,3000786
22222128,2,2,3000793,3000786
22222128,2,3,3000794,3000786
22222132,0,0,3000795,3000795
22222132,1,1,3000796,3000795
22222132,1,2,3000096,3000795
22222132,1,3,3000797,3000795
22222132,1,4,3000798,3000795
22222132,1,5,3000799,3000795
22222132,2,1,3000800,3000795
22222132,2,2,3000801,3000795
22222132,2,3,3000802,3000795
22222149,0,0,3000803,3000803
22222149,1,1,3000097,3000803
22222149,1,2,3000804,3000803
22222149,2,1,3000097,3000803
22222161,0,0,3000805,3000805
22222161,1,1,3000806,3000805
22222161,2,1,3000807,3000805
22222161,2,2,3000808,3000805
22222184,0,0,3000809,3000809
22222184,1,1,3000073,3000809
22222184,2,1,3000810,3000809
22222184,2,2,3000811,3000809
22222185,0,0,3000098,3000098
22222185,1,1,3000812,3000098
22222185,1,2,3000813,3000098
22222185,1,3,3000814,3000098
22222185,1,4,3000815,3000098
22222196,0,0,3000816,3000816
22222196,1,1,3000817,3000816
22222196,1,2,3000818,3000816
22222196,1,3,3000099,3000816
22222196,1,4,3000819,3000816
22222196,2,1,3000099,3000816
22222197,0,0,3000100,3000100
22222197,1,1,3000820,3000100
22222197,1,2,3000821,3000100
22222197,2,1,3000822,3000100
22222197,2,2,3000823,3000100
22222198,0,0,3000101,3000101
22222198,1,1,3000824,3000101
22222198,1,2,3000102,3000101
22222198,1,3,3000100,3000101
22222198,2,1,3000825,3000101
22222198,2,2,3000826,3000101
22222199,0,0,3000827,3000827
22222199,1,1,3000828,3000827
22222199,1,2,3000829,3000827
22222199,1,3,3000830,3000827
22222199,1,4,3000831,3000827
22222199,1,5,3000832,3000827
22222199,2,1,3000833,3000827
22222199,2,2,3000834,3000827
22222199,2,3,3000835,3000827
22222199,2,4,3000836,3000827
22222199,2,5,3000837,3000827
22222202,0,0,3000838,3000838
22222202,1,1,3000839,3000838
22222202,1,2,3000103,3000838
22222202,1,3,3000840,3000838
22222202,2,1,3000103,3000838
22222203,0,0,3000841,3000841
22222203,1,1,3000842,3000841
22222203,1,2,3000843,3000841
22222203,2,1,3000844,3000841
22222203,2,2,3000845,3000841
22222203,2,3,3000846,3000841
22222203,2,4,3000847,3000841
22222204,0,0,3000103,3000103
22222204,1,1,3000104,3000103
22222204,2,1,3000848,3000103
22222209,0,0,3000849,3000849
22222209,1,1,3000850,3000849
22222209,1,2,3000105,3000849
22222209,2,1,3000106,3000849
22222210,0,0,3000851,3000851
22222210,1,1,3000106,3000851
22222210,1,2,3000852,3000851
22222222,0,0,3000853,3000853
22222222,1,1,3000854,3000853
22222222,1,2,3000855,3000853
22222222,2,1,3000856,3000853
22222222,2,2,3000857,3000853
22222222,2,3,3000858,3000853
22222222,2,4,3000859,3000853
22222222,2,5,3000860,3000853
22222226,0,0,3000861,3000861
22222226,1,1,3000862,3000861
22222226,1,2,3000863,3000861
22222226,2,1,3000864,3000861
22222232,0,0,3000865,3000865
22222232,1,1,3000866,3000865
22222232,1,2,3000867,3000865
22222232,2,1,3000868,3000865
22222232,2,2,3000869,3000865
22222244,0,0,3000870,3000870
22222244,1,1,3000871,3000870
22222244,1,2,3000872,3000870
22222244,2,1,3000873,3000870
22222248,0,0,3000874,3000874
22222248,1,1,3000875,3000874
22222248,1,2,3000876,3000874
22222248,1,3,3000107,3000874
22222248,1,4,3000108,3000874
22222248,1,5,3000013,3000874
22222248,2,1,3000877,3000874
22222248,2,2,3000878,3000874
22222248,2,3,3000879,3000874
22222248,2,4,3000880,3000874
22222248,2,5,3000881,3000874
22222249,0,0,3000882,3000882
22222249,1,1,3000109,3000882
22222249,1,2,3000883,3000882
22222249,2,1,3000109,3000882
22222249,2,2,3000884,3000882
22222263,0,0,3000885,3000885
22222263,1,1,3000886,3000885
22222263,1,2,3000110,3000885
22222263,1,3,3000887,3000885
22222263,1,4,3000888,3000885
22222263,2,1,3000110,3000885
22222263,2,2,3000889,3000885
22222280,0,0,3000890,3000890
22222280,1,1,3000111,3000890
22222280,1,2,3000891,3000890
22222280,1,3,3000892,3000890
22222280,1,4,3000893,3000890
22222280,1,5,3000894,3000890
22222280,2,1,3000895,3000890
22222280,2,2,3000896,3000890
22222286,0,0,3000897,3000897
22222286,1,1,3000112,3000897
22222286,1,2,3000898,3000897
22222286,2,1,3000899,3000897
22222286,2,2,3000900,3000897
22222286,2,3,3000901,3000897
22222286,2,4,3000902,3000897
